# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 15-Sep-2026 10:05:11
# ---------------------------------------------------------------------
# Atom: O
#   nuclear charge:    8
#   total electrons:   8
#   total charge:     +0
#   configuration: 1s2_2s2_2p4
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   23 iterations
#   energy convergence  = -5.323E-08
#   density convergence =  6.096E-09
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -43.68186970  [     -1188.64 eV ]
#   (SUM of E_kin) =      77.33723587
#   (Effec. pot E) =    -121.01910558
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =      77.33723587
#   E Latter corr  =      -0.06792223
#   Nuc-Elec pot E =    -181.46118450    One-Elec E =    -104.19187085
#
#   Hartree E      =      37.69696814
#   Exchange E     =     -11.16295135
#   Correlation E  =       0.00000000    Two-Elec E =      26.53401679
#   ---------------------------------
#   Total Energy   =     -77.65785406  [     -2113.18 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -1188.64    -2113.18
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -19.72784866    -536.822054     806.923698
#   2s       2    -1.07204953     -29.171951      92.962632
#   2p       4    -0.52051833     -14.164024      76.170129
#
#              1s        2s        2p
# |SCF|   -536.82    -29.17    -14.16
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.197       0.053       3.395     9.9E-08
#   2s       1.110       1.500      14.840    -3.8E-08
#   2p       1.202       1.932      21.075    -1.5E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    4362
#   continuum_rmax(a.u.)  =      21.814 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p 
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     9.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    10.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    11.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    12.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    13.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    14.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    15.00000  9.63191E+00  0.00000E+00  0.00000E+00  9.63191E+00
    16.00000  1.01610E+01  0.00000E+00  0.00000E+00  1.01610E+01
    17.00000  1.04894E+01  0.00000E+00  0.00000E+00  1.04894E+01
    18.00000  1.06721E+01  0.00000E+00  0.00000E+00  1.06721E+01
    19.00000  1.07481E+01  0.00000E+00  0.00000E+00  1.07481E+01
    20.00000  1.07456E+01  0.00000E+00  0.00000E+00  1.07456E+01
    21.00000  1.06848E+01  0.00000E+00  0.00000E+00  1.06848E+01
    22.00000  1.05807E+01  0.00000E+00  0.00000E+00  1.05807E+01
    23.00000  1.04443E+01  0.00000E+00  0.00000E+00  1.04443E+01
    24.00000  1.02838E+01  0.00000E+00  0.00000E+00  1.02838E+01
    25.00000  1.01056E+01  0.00000E+00  0.00000E+00  1.01056E+01
    26.00000  9.91439E+00  0.00000E+00  0.00000E+00  9.91439E+00
    27.00000  9.71369E+00  0.00000E+00  0.00000E+00  9.71369E+00
    28.00000  9.50631E+00  0.00000E+00  0.00000E+00  9.50631E+00
    29.00000  9.29442E+00  0.00000E+00  0.00000E+00  9.29442E+00
    30.00000  9.60027E+00  0.00000E+00  5.20592E-01  9.07967E+00
    31.00000  9.43370E+00  0.00000E+00  5.70301E-01  8.86340E+00
    32.00000  9.26172E+00  0.00000E+00  6.15077E-01  8.64664E+00
    33.00000  9.08534E+00  0.00000E+00  6.55108E-01  8.43023E+00
    34.00000  8.90550E+00  0.00000E+00  6.90648E-01  8.21485E+00
    35.00000  8.72306E+00  0.00000E+00  7.22014E-01  8.00104E+00
    36.00000  8.53879E+00  0.00000E+00  7.49532E-01  7.78926E+00
    37.00000  8.35341E+00  0.00000E+00  7.73526E-01  7.57988E+00
    38.00000  8.16753E+00  0.00000E+00  7.94310E-01  7.37322E+00
    39.00000  7.98172E+00  0.00000E+00  8.12182E-01  7.16954E+00
    40.00000  7.79648E+00  0.00000E+00  8.27414E-01  6.96907E+00
    41.00000  7.61225E+00  0.00000E+00  8.40259E-01  6.77199E+00
    42.00000  7.42944E+00  0.00000E+00  8.50950E-01  6.57849E+00
    43.00000  7.24839E+00  0.00000E+00  8.59696E-01  6.38869E+00
    44.00000  7.06941E+00  0.00000E+00  8.66689E-01  6.20272E+00
    45.00000  6.89277E+00  0.00000E+00  8.72102E-01  6.02067E+00
    46.00000  6.71872E+00  0.00000E+00  8.76089E-01  5.84263E+00
    47.00000  6.54746E+00  0.00000E+00  8.78793E-01  5.66867E+00
    48.00000  6.37917E+00  0.00000E+00  8.80340E-01  5.49883E+00
    49.00000  6.21400E+00  0.00000E+00  8.80845E-01  5.33316E+00
    50.00000  6.05208E+00  0.00000E+00  8.80410E-01  5.17167E+00
    51.00000  5.89352E+00  0.00000E+00  8.79130E-01  5.01438E+00
    52.00000  5.73839E+00  0.00000E+00  8.77089E-01  4.86130E+00
    53.00000  5.58676E+00  0.00000E+00  8.74362E-01  4.71240E+00
    54.00000  5.43869E+00  0.00000E+00  8.71018E-01  4.56768E+00
    55.00000  5.29421E+00  0.00000E+00  8.67120E-01  4.42709E+00
    56.00000  5.15333E+00  0.00000E+00  8.62723E-01  4.29060E+00
    57.00000  5.01605E+00  0.00000E+00  8.57878E-01  4.15817E+00
    58.00000  4.88238E+00  0.00000E+00  8.52632E-01  4.02975E+00
    59.00000  4.75228E+00  0.00000E+00  8.47027E-01  3.90526E+00
    60.00000  4.62575E+00  0.00000E+00  8.41100E-01  3.78465E+00
    61.00000  4.50273E+00  0.00000E+00  8.34887E-01  3.66784E+00
    62.00000  4.38318E+00  0.00000E+00  8.28419E-01  3.55476E+00
    63.00000  4.26706E+00  0.00000E+00  8.21725E-01  3.44533E+00
    64.00000  4.15430E+00  0.00000E+00  8.14831E-01  3.33947E+00
    65.00000  4.04485E+00  0.00000E+00  8.07762E-01  3.23709E+00
    66.00000  3.93865E+00  0.00000E+00  8.00539E-01  3.13811E+00
    67.00000  3.83561E+00  0.00000E+00  7.93182E-01  3.04243E+00
    68.00000  3.73568E+00  0.00000E+00  7.85709E-01  2.94997E+00
    69.00000  3.63877E+00  0.00000E+00  7.78138E-01  2.86064E+00
    70.00000  3.54482E+00  0.00000E+00  7.70484E-01  2.77434E+00
    71.00000  3.45375E+00  0.00000E+00  7.62762E-01  2.69099E+00
    72.00000  3.36547E+00  0.00000E+00  7.54983E-01  2.61049E+00
    73.00000  3.27992E+00  0.00000E+00  7.47161E-01  2.53276E+00
    74.00000  3.19701E+00  0.00000E+00  7.39306E-01  2.45771E+00
    75.00000  3.11667E+00  0.00000E+00  7.31429E-01  2.38524E+00
    76.00000  3.03882E+00  0.00000E+00  7.23538E-01  2.31528E+00
    77.00000  2.96338E+00  0.00000E+00  7.15642E-01  2.24774E+00
    78.00000  2.89029E+00  0.00000E+00  7.07750E-01  2.18254E+00
    79.00000  2.81946E+00  0.00000E+00  6.99868E-01  2.11959E+00
    80.00000  2.75082E+00  0.00000E+00  6.92003E-01  2.05882E+00
    81.00000  2.68431E+00  0.00000E+00  6.84161E-01  2.00015E+00
    82.00000  2.61985E+00  0.00000E+00  6.76348E-01  1.94350E+00
    83.00000  2.55737E+00  0.00000E+00  6.68570E-01  1.88880E+00
    84.00000  2.49681E+00  0.00000E+00  6.60830E-01  1.83598E+00
    85.00000  2.43811E+00  0.00000E+00  6.53133E-01  1.78498E+00
    86.00000  2.38120E+00  0.00000E+00  6.45483E-01  1.73572E+00
    87.00000  2.32602E+00  0.00000E+00  6.37885E-01  1.68814E+00
    88.00000  2.27252E+00  0.00000E+00  6.30340E-01  1.64218E+00
    89.00000  2.22062E+00  0.00000E+00  6.22853E-01  1.59777E+00
    90.00000  2.17029E+00  0.00000E+00  6.15426E-01  1.55487E+00
    91.00000  2.12147E+00  0.00000E+00  6.08061E-01  1.51341E+00
    92.00000  2.07409E+00  0.00000E+00  6.00761E-01  1.47333E+00
    93.00000  2.02813E+00  0.00000E+00  5.93528E-01  1.43460E+00
    94.00000  1.98351E+00  0.00000E+00  5.86363E-01  1.39715E+00
    95.00000  1.94021E+00  0.00000E+00  5.79269E-01  1.36094E+00
    96.00000  1.89816E+00  0.00000E+00  5.72246E-01  1.32592E+00
    97.00000  1.85734E+00  0.00000E+00  5.65297E-01  1.29204E+00
    98.00000  1.81770E+00  0.00000E+00  5.58422E-01  1.25927E+00
    99.00000  1.77919E+00  0.00000E+00  5.51622E-01  1.22757E+00
   100.00000  1.74178E+00  0.00000E+00  5.44898E-01  1.19688E+00
   101.00000  1.70543E+00  0.00000E+00  5.38251E-01  1.16718E+00
   102.00000  1.67010E+00  0.00000E+00  5.31681E-01  1.13842E+00
   103.00000  1.63576E+00  0.00000E+00  5.25189E-01  1.11057E+00
   104.00000  1.60238E+00  0.00000E+00  5.18775E-01  1.08361E+00
   105.00000  1.56992E+00  0.00000E+00  5.12439E-01  1.05748E+00
   106.00000  1.53835E+00  0.00000E+00  5.06182E-01  1.03217E+00
   107.00000  1.50765E+00  0.00000E+00  5.00004E-01  1.00765E+00
   108.00000  1.47778E+00  0.00000E+00  4.93904E-01  9.83874E-01
   109.00000  1.44871E+00  0.00000E+00  4.87883E-01  9.60828E-01
   110.00000  1.42042E+00  0.00000E+00  4.81940E-01  9.38482E-01
   111.00000  1.39289E+00  0.00000E+00  4.76075E-01  9.16810E-01
   112.00000  1.36608E+00  0.00000E+00  4.70289E-01  8.95789E-01
   113.00000  1.33997E+00  0.00000E+00  4.64580E-01  8.75394E-01
   114.00000  1.31455E+00  0.00000E+00  4.58948E-01  8.55603E-01
   115.00000  1.28979E+00  0.00000E+00  4.53393E-01  8.36393E-01
   116.00000  1.26566E+00  0.00000E+00  4.47914E-01  8.17746E-01
   117.00000  1.24215E+00  0.00000E+00  4.42511E-01  7.99639E-01
   118.00000  1.21924E+00  0.00000E+00  4.37184E-01  7.82055E-01
   119.00000  1.19690E+00  0.00000E+00  4.31930E-01  7.64974E-01
   120.00000  1.17513E+00  0.00000E+00  4.26751E-01  7.48380E-01
   121.00000  1.15390E+00  0.00000E+00  4.21645E-01  7.32255E-01
   122.00000  1.13319E+00  0.00000E+00  4.16612E-01  7.16582E-01
   123.00000  1.11300E+00  0.00000E+00  4.11651E-01  7.01347E-01
   124.00000  1.09329E+00  0.00000E+00  4.06761E-01  6.86534E-01
   125.00000  1.07407E+00  0.00000E+00  4.01941E-01  6.72128E-01
   126.00000  1.05531E+00  0.00000E+00  3.97191E-01  6.58116E-01
   127.00000  1.03700E+00  0.00000E+00  3.92510E-01  6.44485E-01
   128.00000  1.01912E+00  0.00000E+00  3.87897E-01  6.31222E-01
