# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 15-Sep-2026 10:00:48
# ---------------------------------------------------------------------
# Atom: C
#   nuclear charge:    6
#   total electrons:   6
#   total charge:     +0
#   configuration: 1s2_2s2_2p2
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   22 iterations
#   energy convergence  = -4.464E-08
#   density convergence =  3.463E-09
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -23.32870033  [      -634.81 eV ]
#   (SUM of E_kin) =      39.06842608
#   (Effec. pot E) =     -62.39712641
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =      39.06842608
#   E Latter corr  =      -0.05883079
#   Nuc-Elec pot E =     -89.83818333    One-Elec E =     -50.82858803
#
#   Hartree E      =      18.23685185
#   Exchange E     =      -6.73036200
#   Correlation E  =       0.00000000    Two-Elec E =      11.50648985
#   ---------------------------------
#   Total Energy   =     -39.32209818  [     -1070.01 eV ]
#
#                E(0)        E(1)
# |E_TOT|     -634.81    -1070.01
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -10.68941128    -290.873669     446.366327
#   2s       2    -0.64472334     -17.543814      48.276022
#   2p       2    -0.33021555      -8.985622      36.910612
#
#              1s        2s        2p
# |SCF|   -290.87    -17.54     -8.99
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.266       0.096       4.585     9.9E-09
#   2s       1.528       2.841      19.490    -4.8E-08
#   2p       1.728       3.962      27.305    -1.6E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    5473
#   continuum_rmax(a.u.)  =      27.367 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p 
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     9.00000  1.31929E+01  0.00000E+00  0.00000E+00  1.31929E+01
    10.00000  1.27859E+01  0.00000E+00  0.00000E+00  1.27859E+01
    11.00000  1.21406E+01  0.00000E+00  0.00000E+00  1.21406E+01
    12.00000  1.14144E+01  0.00000E+00  0.00000E+00  1.14144E+01
    13.00000  1.06804E+01  0.00000E+00  0.00000E+00  1.06804E+01
    14.00000  9.97228E+00  0.00000E+00  0.00000E+00  9.97228E+00
    15.00000  9.30459E+00  0.00000E+00  0.00000E+00  9.30459E+00
    16.00000  8.68215E+00  0.00000E+00  0.00000E+00  8.68215E+00
    17.00000  8.10511E+00  0.00000E+00  0.00000E+00  8.10511E+00
    18.00000  8.51455E+00  0.00000E+00  9.43092E-01  7.57145E+00
    19.00000  8.13577E+00  0.00000E+00  1.05757E+00  7.07820E+00
    20.00000  7.77114E+00  0.00000E+00  1.14902E+00  6.62211E+00
    21.00000  7.42048E+00  0.00000E+00  1.22048E+00  6.20000E+00
    22.00000  7.08389E+00  0.00000E+00  1.27501E+00  5.80887E+00
    23.00000  6.76140E+00  0.00000E+00  1.31540E+00  5.44600E+00
    24.00000  6.45301E+00  0.00000E+00  1.34408E+00  5.10893E+00
    25.00000  6.15859E+00  0.00000E+00  1.36313E+00  4.79547E+00
    26.00000  5.87793E+00  0.00000E+00  1.37426E+00  4.50366E+00
    27.00000  5.61071E+00  0.00000E+00  1.37894E+00  4.23178E+00
    28.00000  5.35658E+00  0.00000E+00  1.37833E+00  3.97825E+00
    29.00000  5.11511E+00  0.00000E+00  1.37343E+00  3.74168E+00
    30.00000  4.88585E+00  0.00000E+00  1.36504E+00  3.52081E+00
    31.00000  4.66833E+00  0.00000E+00  1.35383E+00  3.31450E+00
    32.00000  4.46205E+00  0.00000E+00  1.34034E+00  3.12171E+00
    33.00000  4.26651E+00  0.00000E+00  1.32503E+00  2.94149E+00
    34.00000  4.08122E+00  0.00000E+00  1.30826E+00  2.77296E+00
    35.00000  3.90569E+00  0.00000E+00  1.29035E+00  2.61533E+00
    36.00000  3.73941E+00  0.00000E+00  1.27155E+00  2.46786E+00
    37.00000  3.58193E+00  0.00000E+00  1.25208E+00  2.32985E+00
    38.00000  3.43277E+00  0.00000E+00  1.23210E+00  2.20067E+00
    39.00000  3.29148E+00  0.00000E+00  1.21176E+00  2.07972E+00
    40.00000  3.15763E+00  0.00000E+00  1.19118E+00  1.96645E+00
    41.00000  3.03081E+00  0.00000E+00  1.17047E+00  1.86035E+00
    42.00000  2.91062E+00  0.00000E+00  1.14970E+00  1.76092E+00
    43.00000  2.79668E+00  0.00000E+00  1.12895E+00  1.66773E+00
    44.00000  2.68863E+00  0.00000E+00  1.10827E+00  1.58036E+00
    45.00000  2.58613E+00  0.00000E+00  1.08772E+00  1.49841E+00
    46.00000  2.48885E+00  0.00000E+00  1.06732E+00  1.42153E+00
    47.00000  2.39648E+00  0.00000E+00  1.04712E+00  1.34936E+00
    48.00000  2.30874E+00  0.00000E+00  1.02714E+00  1.28160E+00
    49.00000  2.22535E+00  0.00000E+00  1.00740E+00  1.21795E+00
    50.00000  2.14606E+00  0.00000E+00  9.87921E-01  1.15814E+00
    51.00000  2.07062E+00  0.00000E+00  9.68719E-01  1.10190E+00
    52.00000  1.99881E+00  0.00000E+00  9.49805E-01  1.04900E+00
    53.00000  1.93041E+00  0.00000E+00  9.31188E-01  9.99226E-01
    54.00000  1.86524E+00  0.00000E+00  9.12877E-01  9.52359E-01
    55.00000  1.80309E+00  0.00000E+00  8.94875E-01  9.08211E-01
    56.00000  1.74379E+00  0.00000E+00  8.77189E-01  8.66602E-01
    57.00000  1.68719E+00  0.00000E+00  8.59819E-01  8.27367E-01
    58.00000  1.63312E+00  0.00000E+00  8.42769E-01  7.90351E-01
    59.00000  1.58145E+00  0.00000E+00  8.26038E-01  7.55409E-01
    60.00000  1.53203E+00  0.00000E+00  8.09627E-01  7.22408E-01
    61.00000  1.48476E+00  0.00000E+00  7.93535E-01  6.91222E-01
    62.00000  1.43950E+00  0.00000E+00  7.77761E-01  6.61735E-01
    63.00000  1.39614E+00  0.00000E+00  7.62302E-01  6.33840E-01
    64.00000  1.35459E+00  0.00000E+00  7.47157E-01  6.07436E-01
    65.00000  1.31475E+00  0.00000E+00  7.32323E-01  5.82429E-01
    66.00000  1.27653E+00  0.00000E+00  7.17796E-01  5.58733E-01
    67.00000  1.23984E+00  0.00000E+00  7.03573E-01  5.36267E-01
    68.00000  1.20461E+00  0.00000E+00  6.89652E-01  5.14954E-01
    69.00000  1.17075E+00  0.00000E+00  6.76026E-01  4.94725E-01
    70.00000  1.13821E+00  0.00000E+00  6.62694E-01  4.75515E-01
    71.00000  1.10691E+00  0.00000E+00  6.49650E-01  4.57261E-01
    72.00000  1.07680E+00  0.00000E+00  6.36891E-01  4.39907E-01
    73.00000  1.04781E+00  0.00000E+00  6.24411E-01  4.23400E-01
    74.00000  1.01990E+00  0.00000E+00  6.12207E-01  4.07691E-01
    75.00000  9.93004E-01  0.00000E+00  6.00273E-01  3.92731E-01
    76.00000  9.67085E-01  0.00000E+00  5.88605E-01  3.78480E-01
    77.00000  9.42093E-01  0.00000E+00  5.77198E-01  3.64895E-01
    78.00000  9.17987E-01  0.00000E+00  5.66047E-01  3.51940E-01
    79.00000  8.94726E-01  0.00000E+00  5.55148E-01  3.39578E-01
    80.00000  8.72273E-01  0.00000E+00  5.44496E-01  3.27778E-01
    81.00000  8.50592E-01  0.00000E+00  5.34085E-01  3.16507E-01
    82.00000  8.29648E-01  0.00000E+00  5.23911E-01  3.05737E-01
    83.00000  8.09410E-01  0.00000E+00  5.13969E-01  2.95441E-01
    84.00000  7.89848E-01  0.00000E+00  5.04255E-01  2.85593E-01
    85.00000  7.70932E-01  0.00000E+00  4.94763E-01  2.76169E-01
    86.00000  7.52636E-01  0.00000E+00  4.85489E-01  2.67147E-01
    87.00000  7.34934E-01  0.00000E+00  4.76427E-01  2.58507E-01
    88.00000  7.17802E-01  0.00000E+00  4.67574E-01  2.50227E-01
    89.00000  7.01215E-01  0.00000E+00  4.58925E-01  2.42290E-01
    90.00000  6.85153E-01  0.00000E+00  4.50475E-01  2.34678E-01
    91.00000  6.69594E-01  0.00000E+00  4.42219E-01  2.27375E-01
    92.00000  6.54518E-01  0.00000E+00  4.34153E-01  2.20365E-01
    93.00000  6.39907E-01  0.00000E+00  4.26273E-01  2.13634E-01
    94.00000  6.25742E-01  0.00000E+00  4.18574E-01  2.07168E-01
    95.00000  6.12006E-01  0.00000E+00  4.11051E-01  2.00955E-01
    96.00000  5.98683E-01  0.00000E+00  4.03702E-01  1.94981E-01
    97.00000  5.85757E-01  0.00000E+00  3.96521E-01  1.89236E-01
    98.00000  5.73213E-01  0.00000E+00  3.89504E-01  1.83709E-01
    99.00000  5.61038E-01  0.00000E+00  3.82648E-01  1.78389E-01
   100.00000  5.49217E-01  0.00000E+00  3.75949E-01  1.73268E-01
   101.00000  5.37737E-01  0.00000E+00  3.69402E-01  1.68335E-01
   102.00000  5.26586E-01  0.00000E+00  3.63003E-01  1.63583E-01
   103.00000  5.15753E-01  0.00000E+00  3.56750E-01  1.59003E-01
   104.00000  5.05226E-01  0.00000E+00  3.50639E-01  1.54587E-01
   105.00000  4.94994E-01  0.00000E+00  3.44665E-01  1.50328E-01
   106.00000  4.85046E-01  0.00000E+00  3.38826E-01  1.46220E-01
   107.00000  4.75373E-01  0.00000E+00  3.33118E-01  1.42255E-01
   108.00000  4.65965E-01  0.00000E+00  3.27537E-01  1.38428E-01
   109.00000  4.56813E-01  0.00000E+00  3.22081E-01  1.34732E-01
   110.00000  4.47909E-01  0.00000E+00  3.16747E-01  1.31162E-01
   111.00000  4.39244E-01  0.00000E+00  3.11530E-01  1.27713E-01
   112.00000  4.30809E-01  0.00000E+00  3.06429E-01  1.24380E-01
   113.00000  4.22597E-01  0.00000E+00  3.01440E-01  1.21157E-01
   114.00000  4.14601E-01  0.00000E+00  2.96560E-01  1.18041E-01
   115.00000  4.06814E-01  0.00000E+00  2.91787E-01  1.15027E-01
   116.00000  3.99228E-01  0.00000E+00  2.87117E-01  1.12111E-01
   117.00000  3.91838E-01  0.00000E+00  2.82549E-01  1.09289E-01
   118.00000  3.84636E-01  0.00000E+00  2.78079E-01  1.06558E-01
   119.00000  3.77617E-01  0.00000E+00  2.73705E-01  1.03913E-01
   120.00000  3.70775E-01  0.00000E+00  2.69424E-01  1.01351E-01
   121.00000  3.64104E-01  0.00000E+00  2.65234E-01  9.88702E-02
   122.00000  3.57600E-01  0.00000E+00  2.61133E-01  9.64661E-02
   123.00000  3.51255E-01  0.00000E+00  2.57119E-01  9.41362E-02
   124.00000  3.45066E-01  0.00000E+00  2.53189E-01  9.18777E-02
   125.00000  3.39028E-01  0.00000E+00  2.49341E-01  8.96879E-02
   126.00000  3.33136E-01  0.00000E+00  2.45572E-01  8.75643E-02
   127.00000  3.27386E-01  0.00000E+00  2.41882E-01  8.55044E-02
   128.00000  3.21773E-01  0.00000E+00  2.38267E-01  8.35060E-02
